record_id;redcap_survey_identifier;intro_timestamp;intro_5___1;intro_complete;q1_timestamp;q1_1;q1_2;q1_3;q1_4;q1_5;q1_6;q1_7;q1_8;q1_9;q1_10;q1_11;q1_12;q1_13;q1_14___1;q1_14___2;q1_14___3;q1_14___4;q1_14___5;q1_14___19;q1_14___6;q1_14___7;q1_14___8;q1_14___9;q1_14___10;q1_14___11;q1_14___12;q1_14___13;q1_14___14;q1_14___15;q1_14___16;q1_14___17;q1_14___18;q1_15;q1_16;q1_17;q1_18___1;q1_18___2;q1_18___3;q1_18___4;q1_18___5;q1_18___6;q1_18___7;q1_18___8;q1_19;q1_20;q1_21;q1_22;q1_23;q1_24;q1_25;q1_26;q1_27___1;q1_27___2;q1_27___3;q1_27___4;q1_27___5;q1_27___6;q1_28;q1_29;q1_30___1;q1_30___2;q1_30___3;q1_30___4;q1_31;q1_complete;dmt_timestamp;dmt_0;dmt_3;dmt_4___1;dmt_4___2;dmt_4___3;dmt_4___4;dmt_4___5;dmt_2;dmt_5___1;dmt_5___2;dmt_5___3;dmt_5___4;dmt_5___5;dmt_5___6;dmt_6___1;dmt_6___2;dmt_6___3;dmt_6___4;dmt_6___5;dmt_6___6;dmt_6___7;dmt_6___8;dmt_7;dmt_8;dmt_9;dmt_10;dmt_11;dmt_complete;q2_timestamp;q2_2;q2_3;q2_4;q2_5;q2_6;q2_7;q2_8;q2_9;q2_10;q2_11;q2_12;q2_13;q2_14;q2_15;q2_16;q2_17;q2_18;q2_19;q2_20;q2_complete;q3_timestamp;q3_miracao;q3_1;q3_2;q3_3;q3_5;q3_5_1;q3_7___6;q3_7___7;q3_7___8;q3_8;q3_9;q3_10;q3_11;q3_12;q3_15;q3_16;q3_17;q3_18;q3_19;q3_20;q3_22;q3_24;q3_25;q3_26;q3_27;q3_28;q3_29;q3_30;q3_complete;q4q5_timestamp;q4_sobrenatural;q4_mitologicos;q4_hibridos;q4_anjos;q4_semidivinos;q4_demonios;q4_planta;q5_ufo1;q5_ufo3;q5_ufo4;q5_ufo5;q5_ufo6;q5_ufo7;q5_ufo8;q5_ufo9;q5_ufo10___1;q5_ufo10___2;q5_ufo10___3;q5_ufo11___5;q5_ufo11___6;q5_ufo11___7;q5_ufo11___8;q5_ufo11___9;q5_12;q5_ufo12;q5_ufo13___1;q5_ufo13___2;q5_ufo13___3;q5_ufo13___4;q5_ufo13___5;q5_ufo13___6;q5_13;q5_14;q5_ufo14___1;q5_ufo14___2;q5_ufo14___3;q5_ufo14___4;q5_ufo14___5;q5_ufo14___6;q5_ufo14___7;q5_ufo15;q5_ufo16;q5_ufo17;q5_ufo18;q5_ufo19;q5_ufo20;q5_ufo21;q5_ufo22;q5_ufo23;q5_ufo24;q5_ufo25;q5_ufo26;q5_15;q5_ufo27;q5_16;q5_ufo28;q5_ufo29;q5_ufo30;q5_ufo31;q5_ufo32;q5_ufo35;q5_ufo33;q5_ufo34;q4q5_complete;q6_timestamp;q6_1;q6_32;q6_3;q6_5;q6_6;q6_8;q6_9;q6_10;q6_11;q6_12;q6_13;q6_14;q6_15;q6_16;q6_17;q6_18;q6_19;q6_20;q6_21;q6_22;q6_23;q6_24;q6_25;q6_26;q6_27;q6_28;q6_29;q6_30;q6_31;q6_complete
1;;27/07/2022 17:40;1;2;27/07/2022 17:49;2;;32;São Paulo/SP/Brasil;São Paulo/SP/Brasil;1;2;;8;2;;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;1;3;1;1;1;1;0;1;0;0;1;Meditação;1;1;0;0;1;2;27/07/2022 17:54;1;há 40 anos;1;1;1;0;0;uma vez ao mês;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;1;lsd;2;27/07/2022 17:54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;27/07/2022 17:55;1;1;1;1;1;cobra;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;27/07/2022 18:04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21;1;0;0;1;0;0;0;1;mental;1;1;0;0;1;0;0;;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;;1;1;1;1;1;1;1;2;2;27/07/2022 18:06;1;1;1;1;1;1;1;1;1;1;1;1;1;1;alienígenas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
2;;27/07/2022 18:26;1;2;27/07/2022 18:33;2;;33;Salvador/BA/ Brasil;JUÍNA/MT/Brasil;1;1;Doutorado em psicologia social e do Trabalho ;8;1;Professor ;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;3;3;2;3;0;0;0;0;0;1;1;Yoga, mindfulness;1;1;1;0;1;2;27/07/2022 18:35;1;2017;1;0;0;0;0;Mensalmente ;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;2;;2;27/07/2022 18:38;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;;1;1;1;2;27/07/2022 18:42;1;1;2;1;2;;1;1;0;2;2;1;2;2;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;27/07/2022 18:47;1;2;1;1;1;1;1;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;27/07/2022 19:16;1;1;1;2;2;2;2;2;2;1;2;1;2;1;Não sei;2;;2;1;2;2;1;1;2;2;1;2;2;2;2
3;;29/07/2022 22:18;1;2;29/07/2022 22:21;2;;35;São Paulo/SP/Brasil;Salvador/BA/Brasil;5;2;;8;1;Psicólogo;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;0;0;0;0;0;0;0;0;;;;;1;2;2;2;0;0;0;0;0;1;1;Hipnose ericksoniana e auto-hipnose;1;1;0;0;1;2;29/07/2022 22:24;1;Há 13 anos;1;0;0;0;0;Entre 6 e 8 vezes no total;1;0;0;0;0;0;0;0;1;0;1;0;0;0;;;;1;LSD e Cannabis;2;29/07/2022 22:27;2;1;2;2;2;1;2;2;1;2;1;2;1;2;2;;2;2;1;2;29/07/2022 22:29;1;1;1;2;2;;0;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;1;1;2;2;29/07/2022 22:30;1;2;2;2;2;2;2;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;29/07/2022 22:30;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
4;;31/07/2022 13:30;1;2;31/07/2022 13:34;2;;44;Pedro Leopoldo, MG;SP, SP;5;2;;8;1;Professor;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;;0;0;0;0;0;0;0;0;;;;;1;3;3;2;0;0;0;0;0;1;1;Hipnose, meditação ;1;0;0;0;7;2;31/07/2022 13:37;1;10 anos;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;2;;2;31/07/2022 14:01;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;1;2;31/07/2022 14:02;2;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;2;31/07/2022 14:03;1;2;2;2;2;2;2;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;31/07/2022 14:07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;2;2;2;2;2;2;1;2
5;;01/08/2022 12:35;1;2;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;;;;;0;0;0;0;0;0;;;0;0;0;0;;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
6;;02/08/2022 13:52;1;2;02/08/2022 13:55;2;;28;Santo Ângelo/RS/Brasil;São Paulo/SP/Brasil;1;1;Psicologia Social - Doutorado;8;1;Psicólogo;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;0;0;0;0;0;0;0;0;;;;;1;2;2;2;0;0;0;0;0;1;1;Meditação;1;1;1;0;1;2;02/08/2022 13:57;1;Há 3 anos;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;;;;1;LSD, Cannabis, MDMA, Psilocibina, Cetamina. ;2;02/08/2022 13:58;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;;1;2;1;2;02/08/2022 14:01;1;1;2;2;1;Lobisomem;1;0;0;2;2;1;2;2;1;1;1;2;2;2;1;2;2;1;1;2;2;2;2;02/08/2022 14:02;1;2;1;1;1;1;2;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;02/08/2022 14:04;1;1;2;2;2;1;1;1;1;1;2;1;1;2;;2;;2;2;2;2;1;2;2;2;1;1;2;1;2
7;;11/08/2022 21:53;1;2;11/08/2022 21:57;2;;32;Fortaleza/CE/BR;Fortaleza/CE/BR;1;2;;8;1;Professor universitário e psicólogo;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;2;3;3;2;0;0;0;1;1;0;1;Hatha e Tantra Yoga;1;0;0;0;1;2;11/08/2022 22:00;1;Em 2013;1;0;0;0;0;Acredito que em torno de 10 vezes.;1;0;0;0;0;0;1;0;1;0;0;0;0;1;;;Com o grupo do Sri Prem Baba;1;Cannabis, (alegadamente) LSD, (alegadamente) MDMA, (alegadamente) 2CB e NBome;2;11/08/2022 22:03;2;1;2;2;2;1;2;2;1;1;2;1;1;1;2;;2;2;1;2;11/08/2022 22:06;1;1;1;1;2;;0;1;1;2;1;1;1;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;2;11/08/2022 22:07;1;1;2;2;1;1;1;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;11/08/2022 22:11;1;1;2;2;2;2;2;2;2;1;1;1;2;2;;2;;2;1;2;2;1;2;1;2;2;1;2;1;2
8;;14/08/2022 11:42;1;2;14/08/2022 11:45;2;;41;Itu - SP;São Paulo - SP ;5;1;Psicologia ;8;1;Psicólogo ;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;1;1;3;3;0;0;0;0;1;0;1;Tantra Yoga;1;1;0;0;7;2;14/08/2022 11:46;1;Há 20 anos;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;1;Cogumelos, cannabis ;2;14/08/2022 11:49;1;1;1;1;2;2;2;2;2;1;2;1;1;1;2;;2;2;2;2;14/08/2022 11:49;2;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;2;14/08/2022 11:49;2;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;14/08/2022 11:50;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
9;;19/09/2022 19:39;1;2;19/09/2022 19:57;1;;38;São Luís, Maranhão, Brasil;São Luís, Maranhão, Brasil;3;2;;8;1;Professora e Psicóloga ;1;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;3;2;2;1;0;0;0;1;1;0;1;Meditação e Yoga;1;1;1;0;2;2;19/09/2022 19:58;1;Há 1 ano;1;0;0;0;0;3 vezes no total;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;1;Cannabis ;2;19/09/2022 20:01;2;1;2;2;1;1;2;1;1;2;2;2;1;1;2;;1;1;1;2;19/09/2022 20:04;1;1;1;1;1;Lobo ou Cachorro ;0;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;2;2;19/09/2022 20:06;1;2;2;2;1;2;2;2;;;;;;;;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;2;19/09/2022 20:09;1;1;1;2;2;1;2;1;1;1;1;1;2;1;Entidades ;1;1;2;2;2;2;1;1;2;2;1;2;2;2;2
